theta0,w0,safe
-0.2513,-5.0684,1
-0.1885,-5.0684,1
-0.1257,-5.0684,1
-0.0628,-5.0684,1
0.0000,-5.0684,1
0.0628,-5.0684,1
0.1257,-5.0684,1
0.1885,-5.0684,1
0.2513,-5.0684,1
0.3142,-5.0684,1
0.3770,-5.0684,1
0.4398,-5.0684,1
0.5027,-5.0684,1
0.5655,-5.0684,1
0.6283,-5.0684,1
0.6912,-5.0684,1
0.7540,-5.0684,1
0.8168,-5.0684,1
0.8796,-5.0684,1
0.9425,-5.0684,1
1.0053,-5.0684,1
1.0681,-5.0684,1
1.1310,-5.0684,1
1.1938,-5.0684,1
1.2566,-5.0684,1
1.3195,-5.0684,1
1.3823,-5.0684,1
1.4451,-5.0684,1
1.5080,-5.0684,1
1.5708,-5.0684,1
1.6336,-5.0684,1
1.6965,-5.0684,0
1.7593,-5.0684,0
1.8221,-5.0684,0
1.8850,-5.0684,0
-1.8850,-4.8381,0
-1.8221,-4.8381,1
-1.7593,-4.8381,1
-1.6965,-4.8381,1
-1.6336,-4.8381,1
-1.5708,-4.8381,1
-1.5080,-4.8381,1
-1.4451,-4.8381,1
-1.3823,-4.8381,1
-1.3195,-4.8381,1
-1.2566,-4.8381,1
-1.1938,-4.8381,1
-1.1310,-4.8381,1
-1.0681,-4.8381,1
-1.0053,-4.8381,1
-0.9425,-4.8381,1
-0.8796,-4.8381,1
-0.8168,-4.8381,1
-0.7540,-4.8381,1
-0.6912,-4.8381,1
-0.6283,-4.8381,1
-0.5655,-4.8381,1
-0.5027,-4.8381,1
-0.4398,-4.8381,1
-0.3770,-4.8381,1
-0.3142,-4.8381,1
-0.2513,-4.8381,1
-0.1885,-4.8381,1
-0.1257,-4.8381,1
-0.0628,-4.8381,1
0.0000,-4.8381,1
0.0628,-4.8381,1
0.1257,-4.8381,1
0.1885,-4.8381,1
0.2513,-4.8381,1
0.3142,-4.8381,1
0.3770,-4.8381,1
0.4398,-4.8381,1
0.5027,-4.8381,1
0.5655,-4.8381,1
0.6283,-4.8381,1
0.6912,-4.8381,1
0.7540,-4.8381,1
0.8168,-4.8381,1
0.8796,-4.8381,1
0.9425,-4.8381,1
1.0053,-4.8381,1
1.0681,-4.8381,1
1.1310,-4.8381,1
1.1938,-4.8381,1
1.2566,-4.8381,1
1.3195,-4.8381,1
1.3823,-4.8381,1
1.4451,-4.8381,1
1.5080,-4.8381,1
1.5708,-4.8381,1
1.6336,-4.8381,1
1.6965,-4.8381,0
1.7593,-4.8381,0
1.8221,-4.8381,0
1.8850,-4.8381,0
-1.8850,-4.6077,0
-1.8221,-4.6077,1
-1.7593,-4.6077,1
-1.6965,-4.6077,1
-1.6336,-4.6077,1
-1.5708,-4.6077,1
-1.5080,-4.6077,1
-1.4451,-4.6077,1
-1.3823,-4.6077,1
-1.3195,-4.6077,1
-1.2566,-4.6077,1
-1.1938,-4.6077,1
-1.1310,-4.6077,1
-1.0681,-4.6077,1
-1.0053,-4.6077,1
-0.9425,-4.6077,1
-0.8796,-4.6077,1
-0.8168,-4.6077,1
-0.7540,-4.6077,1
-0.6912,-4.6077,1
-0.6283,-4.6077,1
-0.5655,-4.6077,1
-0.5027,-4.6077,1
-0.4398,-4.6077,1
-0.3770,-4.6077,1
-0.3142,-4.6077,1
-0.2513,-4.6077,1
-0.1885,-4.6077,1
-0.1257,-4.6077,1
-0.0628,-4.6077,1
0.0000,-4.6077,1
0.0628,-4.6077,1
0.1257,-4.6077,1
0.1885,-4.6077,1
0.2513,-4.6077,1
0.3142,-4.6077,1
0.3770,-4.6077,1
0.4398,-4.6077,1
0.5027,-4.6077,1
0.5655,-4.6077,1
0.6283,-4.6077,1
0.6912,-4.6077,1
0.7540,-4.6077,1
0.8168,-4.6077,1
0.8796,-4.6077,1
0.9425,-4.6077,1
1.0053,-4.6077,1
1.0681,-4.6077,1
1.1310,-4.6077,1
1.1938,-4.6077,1
1.2566,-4.6077,1
1.3195,-4.6077,1
1.3823,-4.6077,1
1.4451,-4.6077,1
1.5080,-4.6077,1
1.5708,-4.6077,1
1.6336,-4.6077,1
1.6965,-4.6077,1
1.7593,-4.6077,0
1.8221,-4.6077,0
1.8850,-4.6077,0
-1.8850,-4.3773,0
-1.8221,-4.3773,1
-1.7593,-4.3773,1
-1.6965,-4.3773,1
-1.6336,-4.3773,1
-1.5708,-4.3773,1
-1.5080,-4.3773,1
-1.4451,-4.3773,1
-1.3823,-4.3773,1
-1.3195,-4.3773,1
-1.2566,-4.3773,1
-1.1938,-4.3773,1
-1.1310,-4.3773,1
-1.0681,-4.3773,1
-1.0053,-4.3773,1
-0.9425,-4.3773,1
-0.8796,-4.3773,1
-0.8168,-4.3773,1
-0.7540,-4.3773,1
-0.6912,-4.3773,1
-0.6283,-4.3773,1
-0.5655,-4.3773,1
-0.5027,-4.3773,1
-0.4398,-4.3773,1
-0.3770,-4.3773,1
-0.3142,-4.3773,1
-0.2513,-4.3773,1
-0.1885,-4.3773,1
-0.1257,-4.3773,1
-0.0628,-4.3773,1
0.0000,-4.3773,1
0.0628,-4.3773,1
0.1257,-4.3773,1
0.1885,-4.3773,1
0.2513,-4.3773,1
0.3142,-4.3773,1
0.3770,-4.3773,1
0.4398,-4.3773,1
0.5027,-4.3773,1
0.5655,-4.3773,1
0.6283,-4.3773,1
0.6912,-4.3773,1
0.7540,-4.3773,1
0.8168,-4.3773,1
0.8796,-4.3773,1
0.9425,-4.3773,1
1.0053,-4.3773,1
1.0681,-4.3773,1
1.1310,-4.3773,1
1.1938,-4.3773,1
1.2566,-4.3773,1
